country,release_year,type
Argentina,1985,2
Argentina,1998,1
Argentina,2004,1
Argentina,2006,1
Argentina,2007,1
Argentina,2015,4
Argentina,2016,7
Argentina,2017,4
Argentina,2018,10
Argentina,2019,11
Argentina,2020,12
Argentina,2021,2
Australia,1981,1
Australia,1992,1
Australia,1998,1
Australia,1999,1
Australia,2005,1
Australia,2007,1
Australia,2009,1
Australia,2011,1
Australia,2012,3
Australia,2013,1
Australia,2015,9
Australia,2016,16
Australia,2017,9
Australia,2018,14
Australia,2019,11
Australia,2020,9
Australia,2021,7
Austria,2016,1
Austria,2017,1
Austria,2019,1
Austria,2020,2
Bangladesh,2017,1
Bangladesh,2018,2
Belarus,2016,1
Belgium,2015,1
Belgium,2017,3
Belgium,2018,1
Belgium,2019,2
Belgium,2021,2
Brazil,2012,1
Brazil,2013,3
Brazil,2014,1
Brazil,2015,3
Brazil,2016,6
Brazil,2017,9
Brazil,2018,13
Brazil,2019,17
Brazil,2020,20
Brazil,2021,4
Bulgaria,2018,1
Cambodia,2017,1
Cameroon,2020,1
Canada,1998,2
Canada,2004,1
Canada,2006,2
Canada,2007,2
Canada,2008,1
Canada,2009,2
Canada,2010,4
Canada,2011,3
Canada,2012,3
Canada,2013,1
Canada,2014,11
Canada,2015,13
Canada,2016,27
Canada,2017,26
Canada,2018,36
Canada,2019,18
Canada,2020,26
Canada,2021,3
Chile,2013,2
Chile,2015,2
Chile,2016,3
Chile,2017,1
Chile,2018,3
Chile,2019,2
Chile,2020,1
China,2008,2
China,2010,2
China,2011,1
China,2012,2
China,2015,2
China,2016,8
China,2017,11
China,2018,10
China,2019,16
China,2020,8
China,2021,4
Colombia,2007,1
Colombia,2008,1
Colombia,2010,1
Colombia,2012,2
Colombia,2015,1
Colombia,2016,2
Colombia,2017,2
Colombia,2018,9
Colombia,2019,7
Colombia,2020,6
Colombia,2021,3
Croatia,2018,1
Cyprus,2017,1
Denmark,2007,1
Denmark,2012,1
Denmark,2015,1
Denmark,2016,3
Denmark,2017,1
Denmark,2018,5
Denmark,2020,1
Egypt,1954,1
Egypt,1956,1
Egypt,1958,1
Egypt,1963,1
Egypt,1970,1
Egypt,1973,1
Egypt,1976,2
Egypt,1979,1
Egypt,1981,1
Egypt,1982,1
Egypt,2004,2
Egypt,2005,1
Egypt,2006,5
Egypt,2007,2
Egypt,2008,5
Egypt,2009,4
Egypt,2010,5
Egypt,2011,8
Egypt,2012,9
Egypt,2013,5
Egypt,2014,4
Egypt,2015,3
Egypt,2016,6
Egypt,2017,13
Egypt,2018,14
Egypt,2019,5
Egypt,2020,3
Egypt,2021,1
Finland,2018,1
France,1974,1
France,2002,1
France,2004,1
France,2008,1
France,2009,1
France,2010,1
France,2011,2
France,2012,2
France,2014,6
France,2015,10
France,2016,14
France,2017,17
France,2018,19
France,2019,25
France,2020,16
France,2021,7
Georgia,2018,1
Germany,2006,1
Germany,2007,1
Germany,2008,1
Germany,2013,2
Germany,2014,5
Germany,2015,4
Germany,2016,9
Germany,2017,6
Germany,2018,5
Germany,2019,8
Germany,2020,20
Germany,2021,5
Ghana,2017,1
Ghana,2018,1
Ghana,2019,1
Guatemala,2017,1
Hong Kong,1973,1
Hong Kong,1975,1
Hong Kong,1978,2
Hong Kong,1980,2
Hong Kong,1981,1
Hong Kong,1982,2
Hong Kong,1983,3
Hong Kong,1984,3
Hong Kong,1985,2
Hong Kong,1988,1
Hong Kong,1989,1
Hong Kong,1990,1
Hong Kong,1992,3
Hong Kong,1993,2
Hong Kong,1994,1
Hong Kong,1995,2
Hong Kong,1997,1
Hong Kong,2001,1
Hong Kong,2002,1
Hong Kong,2008,1
Hong Kong,2009,3
Hong Kong,2010,3
Hong Kong,2011,1
Hong Kong,2013,2
Hong Kong,2014,2
Hong Kong,2015,1
Hong Kong,2016,4
Hong Kong,2017,1
Hong Kong,2018,1
Hong Kong,2019,3
Hungary,2016,1
Hungary,2017,1
Hungary,2018,1
Hungary,2019,1
Iceland,2015,1
Iceland,2017,1
Iceland,2020,2
Iceland,2021,1
India,1959,1
India,1962,1
India,1964,1
India,1966,1
India,1969,1
India,1971,2
India,1972,2
India,1973,2
India,1974,2
India,1975,2
India,1976,2
India,1977,2
India,1978,1
India,1979,2
India,1980,2
India,1981,1
India,1982,6
India,1983,4
India,1984,1
India,1985,2
India,1986,2
India,1987,1
India,1988,2
India,1989,2
India,1990,4
India,1992,1
India,1993,3
India,1994,5
India,1995,5
India,1996,3
India,1997,3
India,1998,6
India,1999,6
India,2000,7
India,2001,7
India,2002,10
India,2003,12
India,2004,15
India,2005,20
India,2006,20
India,2007,16
India,2008,25
India,2009,28
India,2010,35
India,2011,30
India,2012,38
India,2013,54
India,2014,51
India,2015,62
India,2016,73
India,2017,101
India,2018,94
India,2019,86
India,2020,75
India,2021,31
Indonesia,2002,1
Indonesia,2003,1
Indonesia,2005,1
Indonesia,2008,3
Indonesia,2009,3
Indonesia,2011,4
Indonesia,2012,1
Indonesia,2013,3
Indonesia,2014,1
Indonesia,2015,5
Indonesia,2016,8
Indonesia,2017,7
Indonesia,2018,13
Indonesia,2019,9
Indonesia,2020,15
Indonesia,2021,4
Ireland,2015,1
Ireland,2016,4
Ireland,2017,3
Ireland,2018,2
Israel,2012,1
Israel,2014,1
Israel,2015,1
Israel,2016,2
Israel,2017,2
Israel,2018,3
Israel,2020,1
Israel,2021,2
Italy,1955,1
Italy,2013,1
Italy,2015,3
Italy,2016,5
Italy,2017,4
Italy,2018,3
Italy,2019,6
Italy,2020,16
Italy,2021,6
Japan,1979,1
Japan,1981,1
Japan,1986,1
Japan,1995,1
Japan,1997,1
Japan,1998,2
Japan,1999,1
Japan,2000,1
Japan,2001,2
Japan,2002,3
Japan,2003,4
Japan,2004,3
Japan,2005,2
Japan,2006,5
Japan,2007,2
Japan,2008,10
Japan,2009,4
Japan,2010,7
Japan,2011,8
Japan,2012,6
Japan,2013,10
Japan,2014,14
Japan,2015,11
Japan,2016,19
Japan,2017,29
